时间及产品型号,评论内容
2024年1月21日 · 智能眼镜2【方形半框光学镜】发部会新品！,�大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！特别特别棒，货比三家才买的，店主人很好，回答问题很有耐心，也很详细，有需要还会再来的。
2024年1月22日 · 智能眼镜2【方形半框光学镜】发部会新品！,使用这款蓝牙眼镜是一种全新的生活体验，产品功能基本可以达到宣传时的产品效果，对于我这种不喜欢戴耳机的人来说可以说是一种福音了
2024年1月22日 · 智能眼镜2【金丝光学镜】发部会新品！,眼镜款式不错，音效完全可以接受，期待后续续航能力的表现
2024年1月22日 · 智能眼镜2【飞行员光学镜】2023新品,使用了几天了，自己配了镜片。戴着比预料的好看�，续航时间够长，音质超过预期��。
2024年1月22日 · 智能眼镜2【飞行员光学镜】发部会新品！,东西很棒，没有明显漏音。造型也很好看。
2024年1月27日 · 智能眼镜2【钛空光学镜】发部会新品,华为智能眼镜确实是一款非常出色的产品。它不仅具备了普通眼镜的视物功能，还通过内置的智能设备，实现了许多实用的功能。 音质非常出色，戴上它听音乐简直是一种享受。其次，它的续航能力也很强大，能够满足长时间使用的需求。此外，华为智能眼镜还具备降噪功能，可以有效减少外界噪音的干扰，让人在嘈杂的环境中也能保持专注。是一款非常值得购买的产品。如果你对音质、舒适度、便携性等方面有要求，不妨考虑一下这款智能眼镜。
2024年1月28日 · 智能眼镜2【飞行员光学镜】发布会新品！,比想象中的轻一些，带了一天，重量还能接受。续航不错，然后告诉兄弟们，戴着帽子听歌有惊喜！
2024年1月2日 · 智能眼镜2【方形半框光学镜】2023新品.,好用，每天都不舍得摘掉！
2024年1月30日 · 智能眼镜2【金丝光学镜】发布会新品！,眼镜非常好，简直就是摸鱼神器，哈哈哈哈，戴上也不重，而且商家还给配了眼镜，自己提供度数，戴上很合适，非常喜欢，物超所值
2024年1月30日 · 智能眼镜2【金丝光学镜】发布会新品！,样子好看，音质可以，偏立体声的感觉，度数配的可以，很清晰，近视问题解决得不错。价格在所有店铺中居中偏低，客服饼饼耐心解答，服务热情！还有赠品，太合适的感觉哈。发货很快！
2024年1月3日 · 智能眼镜2【钛空光学镜】2023新品.,科技的力量，没毛病！正品无疑！好用的
2024年1月4日 · 智能眼镜2【飞行员光学镜】2023新品,客服非常好，眼镜带着也非常舒服。
2024年1月4日 · 智能眼镜2【飞行员光学镜】2023新品,对比上一代，重量更轻，音质更好，音量上限也大了不少。
2024年1月5日 · 智能眼镜2【飞行员光学镜】2023新品,从GM联名2代开始买到华为一代再到华为二代，充电、眼镜盒、智能镜腿都一直在进步。当然前框也更时尚了，但不是我们实用主义者的菜，在华为二代没有黑全框情况下用了GM联名2代的前框接华为二代的腿，还蛮好用。其它有问题的话再补充吧。
2024年1月6日 · 智能眼镜2【方形半框光学镜】2023新品,原装正品！ 挺好用的，尤其是小艺接入了盘古大模型。 简直是moss终端！hhhh
2024年1月6日 · 智能眼镜2【金丝光学镜】2023新品,各方面都不错，就一点，镜框的大小对我们头有点大的人来说不太友好呀
2024年1月6日 · 智能眼镜2【金丝光学镜】2023新品,镜框比想象中大一些，但重量很轻。镜腿也不会磨耳朵。
2024年1月6日 · 智能眼镜2【飞行员光学镜】2023新品,非常好用，新产品必须支持一下。
2024年1月6日 · 智能眼镜2【飞行员光学镜】2023新品,音质音效：真的很好，比想象中的音质效果好太多了！!！就像耳边有个千元级的音响！ 舒适度：很舒服用起来几乎无感，自己配了蔡司的镜片还在路上，本人无近视散光，用来护眼和减少长时间入耳式对耳朵的伤害非常好用！ 做工质感：华为品质真的遥遥领先！!! 其他特色：真的很好看鸭！!!
2024年1月8日 · 智能眼镜2【金丝光学镜】2023新品,戴着挺好的，没有不舒服得感觉，语音通话清晰！没有沉重感觉！电量很足能带3-4天
2024年1月9日 · 智能眼镜2【金丝光学镜】2023新品,真心不错，续航时间长，戴着比较舒服�
2024年1月9日 · 智能眼镜2【飞行员光学镜】2023新品,比上一代细了不少，续航音质都有所提高
2024年2月10日 · 智能眼镜2【飞行员光学镜】发布会新品！,续航挺好的上班能用一天，充电也很快，下班前充一会儿第二天上班继续用。店家配镜服务挺好，很清晰，戴着听歌看剧很方便，不过戴久了还是有点压耳朵，总体而言还是不错的
2024年2月12日 · 智能眼镜2【方形半框光学镜】发布会新品！,续航非常满意 东西不错 相信华为准没错������
2024年2月15日 · 智能眼镜2【钛空光学镜】发布会新品！,很好用，轻巧。又可以免费配近视眼镜，比上一代好多了
2024年2月15日 · 智能眼镜2【飞行员光学镜】发布会新品！,质感很好！试戴了几天来评价，重量不错适中，声音效果很好，户外也挺好用。
2024年2月17日 · 智能眼镜2【方形半框光学镜】发布会新品！,怎么说呢  满满的高科技  客服也很热情  音质呢 最大的时候 在30cm内可以听见  30cm外听不见  总得来说 非常满意
2024年2月18日 · 智能眼镜2【飞行员光学镜】发布会新品！,真的太好看太惊喜了！而且完全周围人听不出。很方便都不需要带耳机了。特别实用。被震惊到了！华为这个设计太实用了，而且很方便链接。接电话听音乐都不在话下了。
2024年2月19日 · 智能眼镜2【方形半框光学镜】发布会新品！,超级黑科技，灰常棒的一次体验，音质也很不错！！！
2024年2月19日 · 智能眼镜2【方形无框光学镜】发布会新品！,续航不错，中度使用两天一冲。唯一缺点少了畅连捏聊，稍微有点可惜吧。
2024年2月19日 · 智能眼镜2【金丝光学镜】发布会新品！,整体感受相对老款，佩戴舒适性明显提高，太阳穴那里舒服许多，续航也明显好了很多
2024年2月21日 · 智能眼镜2【飞行员光学镜】发布会新品！.,歹歹的，镜片和镜框分开发来 确实帅 在实体店试过了才来买的 感觉非常不错。
2024年2月22日 · 智能眼镜2【钛空光学镜】发布会新品！,送男朋友的，他超级喜欢，带着眼镜平常工作接电话很方便，带着毫无感觉，很轻
2024年2月23日 · 智能眼镜2【方形无框光学镜】发布会新品！,眼镜质量很好客服也很好推荐朋友
2024年2月23日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜非常好用，接电话听歌都非常好用很清晰，客服饼饼态度非常好，点赞
2024年2月23日 · 智能眼镜2【钛空光学镜】发布会新品！,默认的镜腿很短，可以去华为售后免费更换 很少戴这种鼻托的镜框，弄了一个防滑的 整体比想象中轻，但还是很容易滑落 非常耗电，没有电话的话，2天一充。电话多的，就要一天一充。 观察App应该是由于“保持连接状态”，不像手表，不使用会熄屏
2024年2月24日 · 智能眼镜2【飞行员光学镜】发布会新品！,用了几天才评论。上手的重量比普通眼镜重，不过戴上去并没有太大的影响。华为的服务也好，提前打电话过去让售后店订货，两天就可以换了。一般情况下，两三天冲一次电。
2024年2月25日 · 智能眼镜2【金丝光学镜】发布会新品！.,开始是我哥先买了一代种了草。但是总觉得单纯耳机功能对我用处不大。另外之前眼镜款式都不太适合我。后来二代出来就一直盯着金丝边款看。终于忍不住下手了。发现真的太适合带娃妈妈。带孩子时候用手机很不方便，会被抢。但是这个眼镜好很多。听个评书都给带孩子的生活增加有些乐趣。更何况还可以刷刷点淘。
2024年2月27日 · 智能眼镜2【钛空光学镜】发布会新品！.,喜欢钛空的可以抓紧入手了
2024年2月27日 · 智能眼镜2【飞行员光学镜】发布会新品！.,新的眼镜很好，比别的牌子还有华为之前的都小，没有那么压耳朵
2024年2月28日 · 智能眼镜2【方形无框光学镜】发布会新品！.,非常差的一次购物体验，劝大家要买的话去官方店买比较好，近视镜片自己配，本来拍的是眼镜加近视镜片，说好一周左右配好发货，结果快一周了只发了一个平面镜过。。。问客服怎么解决，客户告诉你镜片做好了寄给你，自己安装。。。然后就一直等镜片，一直催，一直等。本来预计2/25发货的，结果让淘宝客户介入，调整结果是3/11才能发货。但是这样的店有诚信吗，非常担心3/11也发不了。。。镜片退货，自己配镜片去。。。
2024年2月28日 · 智能眼镜2【飞行员光学镜】发布会新品！.,非常棒，华为 yyds
2024年2月29日 · 智能眼镜2【飞行员光学镜】发布会新品！.,特意试戴了一整天进行评价，刚开始觉得接电话像是外放，后来发现app可以设置。续航很不错，一天到下班还有电！刚开始觉得拿到手觉得意外的轻，事实上即使重一点点戴一天耳朵还是有点累的！！当然，比起摸鱼，这些问题都能克服！好评！！！！摸鱼神器！！！
2024年2月29日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜很有意思可以减少我戴耳机的时间，对耳道有炎症的人来说十分的友好
2024年2月2日 · 智能眼镜2【金丝光学镜】发布会新品！,比想象中的好，快递也很快，配的镜片很合适，戴着很舒服，耳机漏音不大
2024年2月2日 · 智能眼镜2【金丝光学镜】发部会新品！,音质还不错 就是还是有点重，工作带挺好的 漏了赠品没送
2024年2月2日 · 智能眼镜2【钛空光学镜】发布会新品！,产品非常不错，蓝牙连接顺利，typec充电比较方便，音质很好！主要是眼镜款式好看
